X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIPCODE,PHONE_NUMB,ST_NBR,ST_PREDIR,ST_NAME,ST_TYPE,TYPE,ADDR_ZIPPLUS_NBR
-112.078866871693,33.392692239955,1298,1,South Mountain Precinct,400 W Southern Av,Phoenix,AZ,85041,(602) 495-5004,400,W,Southern,Av,Precinct,85041
-112.048981656232,33.4293161301957,1299,2,Central City Precinct,1902 S 16th St,Phoenix,AZ,85034,(602) 495-5005,1902,S,16th,St,Precinct,85034
-111.961727190196,33.632460707032,1300,3,Desert Horizon Precinct,16030 N 56th St,Phoenix,AZ,85254,(602) 495-5006,16030,N,56th,St,Precinct,85254
-112.037003276142,33.5309836254128,1301,4,Mountain View Precinct,2075 E Maryland Av,Phoenix,AZ,85016,(602) 495-5007,2075,E,Maryland,Av,Precinct,85016
-112.192883174263,33.4743514094137,1302,5,Maryvale Precinct,6180 W Encanto Bl,Phoenix,AZ,85033,(602) 495-5008,6180,W,Encanto,Bl,Precinct,85033
-112.143410717262,33.5970827383662,1303,6,Cactus Park Precinct,12220 N 39th Av,Phoenix,AZ,85039,(602) 495-5009,12220,N,39th,Av,Precinct,85039
-112.081993525876,33.4485245242227,1304,13,Police Headquarters Building,620 W Washington St,Phoenix,AZ,85003,(602) 262-7626,620,W,Washington,St,NonPrecinct,85003
-112.087650493927,33.352253985122,1305,7,Phoenix Reg. Training Academy,10001 S 7th Av,Phoenix,AZ,85041,(602) 262-7122,10001,S,7th,Av,NonPrecinct,85041
-112.070353618302,33.6555278262977,1306,12,North Resource Bureau,302 E Union Hills Dr,Phoenix,AZ,85024,(602) 495-5001,302,E,Union Hills,Dr,NonPrecinct,85024
-112.06974213021,33.4152263018153,1307,11,South Resource Bureau,3443 S Central Av,Phoenix,AZ,85040,(602) 495-5003,3443,S,Central,Av,NonPrecinct,85040
-112.073367728007,33.6866208818635,1308,8,Deer Valley Airport / Tactical S,102 E Deer Valley Rd,Phoenix,AZ,85024,(602) 495-5002,102,E,Deer Valley,Rd,NonPrecinct,85024
-112.071308643219,33.4140247405969,1309,16,Property Management Building,102 E Elwood St,Phoenix,AZ,85040,(602) 534-5511,102,E,Elwood,St,NonPrecinct,85040
-112.244543070214,33.402355525742,1310,9,Defensive Driving Training Track,8645 W Broadway Rd,Phoenix,AZ,85353,(602) 256-4210,8645,W,Broadway,Rd,NonPrecinct,85353
-111.982283859768,33.2921057408843,1311,15,Ahwatukee Briefing Station,4601 E Ray Rd,Phoenix,AZ,85044,(602) 534-6192,4601,E,Ray,Rd,NonPrecinct,85044
-112.107198827441,33.4213523827634,1312,10,Vehicle Impound Facility,3022 S 22nd Av,Phoenix,AZ,85041,(602) 262-7905,3022,S,22nd,Av,NonPrecinct,85041
-112.069320268169,33.4456714607568,1313,14,Downtown Special Events Center,333 E Jefferson St,Phoenix,AZ,85006,(602) 534-6432,333,E,Jefferson,St,NonPrecinct,85006
-112.069181778643,33.4527102429891,1314,17,Arizona Center Bike Office,455 N 3rd St,Phoenix,AZ,85006,(602) 534-2453,455,N,3rd,St,NonPrecinct,85006
